identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY29-09-2026PE23100.00,Index Options,NIFTY,29-Sep-2026,Put,23100,58.3,7190858,429218.718591,176200.0,23140.5,-51.91752577319588
OPTIDXNIFTY29-09-2026PE23000.00,Index Options,NIFTY,29-Sep-2026,Put,23000,34.0,6262310,244067.26994,224729.76923076922,23140.5,-58.561852528945764
OPTIDXNIFTY29-09-2026CE23100.00,Index Options,NIFTY,29-Sep-2026,Call,23100,150.15,5382131,444714.72026800003,143081.0,23140.5,14.095744680851064
OPTIDXNIFTY29-09-2026PE23050.00,Index Options,NIFTY,29-Sep-2026,Put,23050,44.4,5075166,255034.704249,97885.0,23140.5,-55.51102204408818
OPTIDXNIFTY29-09-2026CE23200.00,Index Options,NIFTY,29-Sep-2026,Call,23200,92.0,4735677,250226.06916450002,150486.0,23140.5,8.298999411418482
OPTIDXNIFTY29-09-2026CE23150.00,Index Options,NIFTY,29-Sep-2026,Call,23150,119.25,3355329,227343.671724,58727.0,23140.5,11.605053813757603
OPTIDXNIFTY29-09-2026CE23300.00,Index Options,NIFTY,29-Sep-2026,Call,23300,50.9,3341085,100441.3678125,152337.0,23140.5,-1.452081316553727
OPTIDXNIFTY29-09-2026PE23150.00,Index Options,NIFTY,29-Sep-2026,Put,23150,76.75,2725795,190695.2553025,64227.0,23140.5,-47.10544452101998
OPTIDXNIFTY29-09-2026PE22900.00,Index Options,NIFTY,29-Sep-2026,Put,22900,19.1,2622262,62502.925901,100830.0,23140.5,-64.59684893419833
OPTIDXNIFTY29-09-2026CE23250.00,Index Options,NIFTY,29-Sep-2026,Call,23250,68.85,2510577,101633.178114,95325.0,23140.5,3.6897590361445785
OPTIDXNIFTY29-09-2026PE23200.00,Index Options,NIFTY,29-Sep-2026,Put,23200,99.1,2463211,217875.939372,98607.0,23140.5,-43.20916905444126
OPTIDXNIFTY29-09-2026CE23050.00,Index Options,NIFTY,29-Sep-2026,Call,23050,184.55,2337088,232074.00694400002,37075.0,23140.5,15.020255531318167
OPTIDXNIFTY29-09-2026CE23400.00,Index Options,NIFTY,29-Sep-2026,Call,23400,26.6,2204459,35593.195014000004,154437.0,23140.5,-13.776337115072934
OPTIDXNIFTY29-09-2026CE23000.00,Index Options,NIFTY,29-Sep-2026,Call,23000,224.35,2153988,264617.4258,51629.0,23140.5,17.215256008359457
OPTIDXNIFTY29-09-2026PE22950.00,Index Options,NIFTY,29-Sep-2026,Put,22950,24.95,2148159,65528.5162155,52886.0,23140.5,-62.39638281838734
OPTIDXNIFTY29-09-2026CE23500.00,Index Options,NIFTY,29-Sep-2026,Call,23500,13.3,2113409,18380.318073,224988.0,23140.5,-27.123287671232877
OPTIDXNIFTY29-09-2026PE22800.00,Index Options,NIFTY,29-Sep-2026,Put,22800,10.85,2080643,30497.0247725,137224.0,23140.5,-69.52247191011236
OPTIDXNIFTY29-09-2026CE23350.00,Index Options,NIFTY,29-Sep-2026,Call,23350,37.05,1702148,38093.221165999996,80500.0,23140.5,-6.7924528301886795
OPTIDXNIFTY29-09-2026PE22850.00,Index Options,NIFTY,29-Sep-2026,Put,22850,14.15,1357855,24863.0039775,67824.0,23140.5,-67.47126436781609
OPTIDXNIFTY29-09-2026CE24000.00,Index Options,NIFTY,29-Sep-2026,Call,24000,2.1,1319868,1835.936388,243754.0,23140.5,-44.0
