symbol,date,open,high,low,close,volume
CAPILLARY,2025-11-21,571.9,633.9,570.05,606.5,24241476
CAPILLARY,2025-11-24,603.5,636.0,581.75,625.25,7318296
CAPILLARY,2025-11-25,618.9,750.3,612.9,732.15,24054760
CAPILLARY,2025-11-26,726.85,798.95,666.75,689.3,44194333
CAPILLARY,2025-11-27,694.0,730.0,663.5,676.15,22489700
CAPILLARY,2025-11-28,681.05,697.7,626.65,644.0,9308614
CAPILLARY,2025-12-01,635.0,643.7,617.2,626.5,4605155
CAPILLARY,2025-12-02,626.5,657.55,613.0,647.1,3781594
CAPILLARY,2025-12-03,643.95,667.2,624.05,634.15,5563170
CAPILLARY,2025-12-04,650.0,724.8,640.0,695.7,23906002
CAPILLARY,2025-12-05,704.0,723.8,677.4,703.15,16893353
CAPILLARY,2025-12-08,703.0,703.15,646.15,660.95,3568229
CAPILLARY,2025-12-09,651.0,715.95,628.75,705.55,9588344
CAPILLARY,2025-12-10,698.6,713.65,678.15,702.1,4033437
CAPILLARY,2025-12-11,691.0,736.9,683.0,725.25,7889718
CAPILLARY,2025-12-12,714.9,733.3,713.05,719.35,3060597
CAPILLARY,2025-12-15,718.65,742.0,688.0,703.4,4048985
CAPILLARY,2025-12-16,696.3,699.8,672.15,677.25,1941217
CAPILLARY,2025-12-17,680.4,689.4,661.35,679.9,1851063
CAPILLARY,2025-12-18,681.0,694.0,671.1,678.0,1192306
CAPILLARY,2025-12-19,678.9,685.8,668.15,672.25,808224
CAPILLARY,2025-12-22,679.0,726.8,668.4,693.45,3983314
CAPILLARY,2025-12-23,697.95,704.0,680.0,686.55,931789
CAPILLARY,2025-12-24,690.0,690.95,672.7,679.3,806395
CAPILLARY,2025-12-26,679.3,697.35,676.45,682.75,680567
CAPILLARY,2025-12-29,686.05,697.4,664.0,678.9,947132
CAPILLARY,2025-12-30,682.05,685.45,665.0,670.05,283024
CAPILLARY,2025-12-31,674.45,680.4,669.35,673.15,353444
CAPILLARY,2026-01-01,673.15,683.1,672.15,677.05,174648
CAPILLARY,2026-01-02,679.95,680.05,670.0,673.2,153576
CAPILLARY,2026-01-05,674.95,674.95,650.0,654.85,399262
CAPILLARY,2026-01-06,659.95,674.0,652.05,666.8,373155
CAPILLARY,2026-01-07,671.5,672.3,654.3,661.3,127476
CAPILLARY,2026-01-08,662.0,662.0,631.1,641.75,253393
CAPILLARY,2026-01-09,641.75,644.45,626.9,630.25,218837
CAPILLARY,2026-01-12,632.0,633.45,609.05,626.8,352983
CAPILLARY,2026-01-13,628.0,682.8,628.0,670.3,703845
CAPILLARY,2026-01-14,673.7,684.65,628.05,635.75,645788
CAPILLARY,2026-01-15,635.75,635.75,635.75,635.75,0
CAPILLARY,2026-01-16,635.0,643.45,627.8,634.0,259759
CAPILLARY,2026-01-19,632.65,632.65,616.15,618.2,151291
CAPILLARY,2026-01-20,620.0,634.9,609.4,625.65,381502
CAPILLARY,2026-01-21,625.65,625.95,606.15,615.95,171385
CAPILLARY,2026-01-22,624.0,626.35,612.1,622.35,101534
CAPILLARY,2026-01-23,624.0,624.95,606.0,616.55,100922
CAPILLARY,2026-01-27,609.0,620.0,601.25,615.45,126344
CAPILLARY,2026-01-28,615.45,621.0,613.0,616.35,52684
CAPILLARY,2026-01-29,620.0,646.8,607.2,637.05,237976
CAPILLARY,2026-01-30,635.75,635.75,623.05,627.55,65076
CAPILLARY,2026-02-02,606.4,614.0,592.5,603.4,114382
CAPILLARY,2026-02-03,617.8,634.0,612.0,617.55,105700
CAPILLARY,2026-02-04,608.0,628.1,597.9,610.65,169415
CAPILLARY,2026-02-05,612.0,618.0,599.1,611.6,132702
CAPILLARY,2026-02-06,611.6,619.95,605.0,607.7,95731
CAPILLARY,2026-02-09,607.95,631.95,591.3,597.2,727339
