symbol,date,open,high,low,close,volume
NEAGI,2026-04-22,3400.0,3400.0,3400.0,3400.0,2
NEAGI,2026-04-27,3270.0,3270.0,3240.25,3255.6499,20
NEAGI,2026-04-28,3245.8999,3245.8999,3245.8999,3245.8999,2
NEAGI,2026-05-06,3339.0,3339.0,3250.0,3294.5,2
NEAGI,2026-05-07,3250.0,3459.2,3250.0,3350.0,7
NEAGI,2026-05-08,3350.0,3350.0,3350.0,3350.0,3
NEAGI,2026-05-11,3190.0,3190.0,3190.0,3190.0,1
NEAGI,2026-05-14,3347.0,3347.0,3344.0,3344.0,4
NEAGI,2026-05-19,3340.0,3340.0,3340.0,3340.0,5
NEAGI,2026-05-21,3320.0,3320.0,3200.0,3200.0,21
NEAGI,2026-05-25,3200.0,3200.0,3200.0,3200.0,1
NEAGI,2026-05-26,3250.0,3250.0,3225.0,3227.3,26
NEAGI,2026-05-27,3255.0,3255.0,3250.0,3250.0,5
NEAGI,2026-05-29,3250.0,3290.0,3250.0,3290.0,23
NEAGI,2026-06-02,3180.5,3300.0,3180.0,3300.0,10
NEAGI,2026-06-08,3135.5,3135.5,3135.5,3135.5,2
NEAGI,2026-06-09,3150.0,3150.0,3060.0,3130.0,165
NEAGI,2026-06-10,3061.0,3080.0,3051.2,3080.0,13
NEAGI,2026-06-11,3026.0,3075.0,3026.0,3075.0,33
NEAGI,2026-06-12,3200.0,3200.0,3199.8999,3199.8999,6
NEAGI,2026-06-15,3224.0,3299.0,3040.0,3061.0,388
NEAGI,2026-06-16,3066.0,3066.0,3066.0,3066.0,10
NEAGI,2026-06-17,3101.0,3101.0,3101.0,3101.0,1
NEAGI,2026-06-18,3101.0,3248.8,3101.0,3248.8,19
NEAGI,2026-06-19,3410.0,3410.0,3125.0,3152.8999,76
NEAGI,2026-06-22,3155.0,3199.8999,3155.0,3199.0,32
NEAGI,2026-06-24,3198.8999,3198.8999,3198.8999,3198.8999,1
NEAGI,2026-06-25,3199.0,3199.0,3199.0,3199.0,1
NEAGI,2026-06-29,3100.0,3100.0,3100.0,3100.0,16
NEAGI,2026-06-30,3100.5,3100.5,3100.0,3100.0,11
NEAGI,2026-07-01,3104.0,3104.0,3100.0,3100.0,78
NEAGI,2026-07-02,3254.5,3254.5,3053.8,3053.8,6
NEAGI,2026-07-06,3053.8,3150.0,3053.8,3100.0,24
NEAGI,2026-07-07,3150.0,3150.0,3150.0,3150.0,1
NEAGI,2026-07-09,3224.8999,3225.0,3224.8999,3225.0,5
NEAGI,2026-07-10,3063.8,3160.0,3063.8,3142.0,75
NEAGI,2026-07-13,3101.0,3101.0,3101.0,3101.0,4
NEAGI,2026-07-14,3101.0,3101.0,3055.0,3057.1001,18
NEAGI,2026-07-15,3200.0,3200.0,3200.0,3200.0,10
NEAGI,2026-07-16,3040.1001,3040.1001,3040.0,3040.0,4
NEAGI,2026-07-21,3099.0,3099.0,3099.0,3099.0,4
NEAGI,2026-07-22,3085.0,3119.0,3085.0,3119.0,6
NEAGI,2026-07-23,3040.0,3150.0,3040.0,3134.5,19
NEAGI,2026-07-24,3035.1001,3035.1001,3035.1001,3035.1001,1
NEAGI,2026-07-28,3186.8,3186.8,3025.1001,3026.1001,89
NEAGI,2026-07-29,3143.0,3144.3,3143.0,3144.3,2
NEAGI,2026-07-30,3144.0,3150.0,3142.0,3142.3999,39
NEAGI,2026-07-31,3187.8999,3187.8999,3172.0,3172.0,2
NEAGI,2026-08-03,3172.0,3172.0,3169.8999,3170.0,26
NEAGI,2026-08-05,3165.0,3165.0,3165.0,3165.0,1
NEAGI,2026-08-06,3155.0,3155.0,3150.0,3150.0,28
