symbol,date,open,high,low,close,volume
MARUTI,2003-07-09,164.9,170.4,155.0,164.3,35164284
MARUTI,2003-07-10,167.0,168.7,164.5,167.0,10464179
MARUTI,2003-07-11,167.75,174.85,166.25,173.35,11740117
MARUTI,2003-07-14,174.25,179.25,174.25,177.95,5982324
MARUTI,2003-07-15,200.0,200.0,173.0,176.2,6173689
MARUTI,2003-07-16,176.45,179.1,175.35,177.1,3759085
MARUTI,2003-07-17,177.5,178.0,170.65,172.2,3814181
MARUTI,2003-07-18,165.0,171.9,160.0,167.4,5375212
MARUTI,2003-07-21,169.0,169.4,163.05,164.9,3315845
MARUTI,2003-07-22,164.0,169.15,162.1,167.25,4627992
MARUTI,2003-07-23,170.5,178.0,169.8,174.7,13262249
MARUTI,2003-07-24,175.9,177.0,172.85,174.1,4305936
MARUTI,2003-07-25,174.4,175.0,172.1,173.65,2832967
MARUTI,2003-07-28,188.0,188.0,175.1,178.85,5415867
MARUTI,2003-07-29,179.95,182.9,179.1,180.3,5229181
MARUTI,2003-07-30,181.25,184.75,180.1,181.1,4632246
MARUTI,2003-07-31,181.7,183.65,179.65,180.85,3562717
MARUTI,2003-08-01,182.0,189.0,178.75,187.15,8027285
MARUTI,2003-08-04,187.85,198.5,185.0,197.6,9982429
MARUTI,2003-08-05,199.0,203.45,192.85,193.6,9651327
MARUTI,2003-08-06,191.5,197.5,189.85,191.6,7451054
MARUTI,2003-08-07,193.5,196.0,192.25,195.4,3223676
MARUTI,2003-08-08,197.0,198.9,196.0,197.15,2530289
MARUTI,2003-08-11,198.1,203.8,196.0,202.2,5651311
MARUTI,2003-08-12,203.8,212.0,203.5,210.45,8215213
MARUTI,2003-08-13,213.0,219.5,212.0,217.8,7839204
MARUTI,2003-08-14,223.0,224.4,215.0,216.55,6298655
MARUTI,2003-08-15,216.55,216.55,216.55,216.55,0
MARUTI,2003-08-18,218.1,221.0,215.4,216.9,3382031
MARUTI,2003-08-19,219.85,219.9,215.0,215.65,3080091
MARUTI,2003-08-20,217.4,226.45,217.3,225.0,6049174
MARUTI,2003-08-21,227.0,228.9,223.3,227.95,4012069
MARUTI,2003-08-22,228.05,232.8,225.9,229.3,4436016
MARUTI,2003-08-25,230.0,231.45,216.1,221.05,4827198
MARUTI,2003-08-26,217.0,235.0,217.0,232.45,3968069
MARUTI,2003-08-27,235.4,237.6,233.0,234.3,2267859
MARUTI,2003-08-28,235.75,235.75,226.0,228.05,3554363
MARUTI,2003-08-29,232.05,238.5,231.5,235.4,3212067
MARUTI,2003-09-01,236.4,237.0,231.7,235.55,2478236
MARUTI,2003-09-02,234.85,234.85,224.1,226.55,3975812
MARUTI,2003-09-03,227.1,231.75,221.0,222.8,3945233
MARUTI,2003-09-04,223.0,225.7,218.45,221.55,3682478
MARUTI,2003-09-05,223.9,230.0,222.4,229.3,2971415
MARUTI,2003-09-08,231.0,233.9,227.15,228.75,1817991
MARUTI,2003-09-09,230.0,235.0,225.8,228.2,2034401
MARUTI,2003-09-10,227.75,230.4,225.8,227.8,1476667
MARUTI,2003-09-11,230.0,230.1,225.0,225.65,1092801
MARUTI,2003-09-12,228.0,228.5,219.1,220.35,2496597
MARUTI,2003-09-15,219.0,221.35,207.1,208.35,3469640
MARUTI,2003-09-16,207.0,210.0,195.1,208.5,4004037
MARUTI,2003-09-17,212.5,219.5,209.25,216.05,3800473
MARUTI,2003-09-18,215.9,215.9,203.4,205.6,2813556
MARUTI,2003-09-19,207.0,210.4,198.8,205.75,3442717
MARUTI,2003-09-22,206.0,212.8,205.75,210.7,2575343
MARUTI,2003-09-23,210.3,214.4,208.2,213.15,1766451
MARUTI,2003-09-24,216.0,221.0,213.1,219.95,2133208
MARUTI,2003-09-25,220.1,220.1,211.5,213.7,1916650
MARUTI,2003-09-26,214.4,217.85,213.1,214.8,2531520
MARUTI,2003-09-29,216.0,229.45,215.15,227.2,3711837
MARUTI,2003-09-30,230.0,233.35,228.0,232.55,3594810
MARUTI,2003-10-01,232.0,233.0,227.1,228.45,2402620
MARUTI,2003-10-02,228.45,228.45,228.45,228.45,0
MARUTI,2003-10-03,229.0,235.0,228.9,234.4,2511914
MARUTI,2003-10-06,236.6,242.35,235.0,241.3,3094324
MARUTI,2003-10-07,244.0,246.4,236.05,237.55,2440562
MARUTI,2003-10-08,238.75,245.0,237.1,240.25,1859277
MARUTI,2003-10-09,240.85,259.75,240.85,258.05,6993550
MARUTI,2003-10-10,260.65,272.4,259.8,269.1,3707816
MARUTI,2003-10-13,273.0,280.35,272.0,276.1,3693070
MARUTI,2003-10-14,278.0,278.6,262.8,264.9,5123854
MARUTI,2003-10-15,264.9,272.7,261.3,270.5,3478259
MARUTI,2003-10-16,273.7,281.3,272.5,276.2,4100489
MARUTI,2003-10-17,280.55,286.4,275.45,282.3,4126840
MARUTI,2003-10-20,282.0,284.8,273.3,274.75,2192534
MARUTI,2003-10-21,276.1,279.0,257.0,261.25,3223848
MARUTI,2003-10-22,263.95,279.0,260.55,263.7,2569557
MARUTI,2003-10-23,264.5,273.25,261.65,263.8,3114998
MARUTI,2003-10-24,265.0,291.0,260.0,285.0,5225375
MARUTI,2003-10-27,294.9,298.0,281.6,283.2,5831782
MARUTI,2003-10-28,283.0,291.9,277.8,286.3,5640636
MARUTI,2003-10-29,291.45,308.3,286.2,305.0,7996572
MARUTI,2003-10-30,306.5,310.7,302.0,305.9,7108567
MARUTI,2003-10-31,307.8,324.2,306.5,322.3,9924397
MARUTI,2003-11-03,324.0,349.5,324.0,347.6,9820043
MARUTI,2003-11-04,355.0,356.6,345.2,349.5,7884723
MARUTI,2003-11-05,350.0,350.0,330.1,336.1,7280790
MARUTI,2003-11-06,340.0,345.7,334.0,338.45,6122862
MARUTI,2003-11-07,340.9,343.4,331.25,333.25,4584798
MARUTI,2003-11-10,337.0,345.0,327.1,341.7,1953978
MARUTI,2003-11-11,343.75,346.85,338.35,340.7,3262766
MARUTI,2003-11-12,338.05,347.0,338.05,342.95,3302571
MARUTI,2003-11-13,344.95,356.7,338.0,346.75,7982920
MARUTI,2003-11-14,346.0,346.5,326.15,329.3,4834168
MARUTI,2003-11-17,340.65,353.5,337.0,350.0,4081415
MARUTI,2003-11-18,353.0,354.4,340.0,344.05,4672908
MARUTI,2003-11-19,346.0,346.0,329.0,330.6,4672785
MARUTI,2003-11-20,331.95,339.05,321.0,323.05,5484243
MARUTI,2003-11-21,324.0,327.0,314.1,324.05,8100784
MARUTI,2003-11-24,328.7,333.0,324.0,327.25,5287524
MARUTI,2003-11-25,330.55,338.5,328.65,337.3,5021011
MARUTI,2003-11-26,337.3,337.3,337.3,337.3,0
MARUTI,2003-11-27,340.0,347.0,338.4,340.7,5069219
MARUTI,2003-11-28,343.4,352.0,342.15,344.6,3606119
MARUTI,2003-12-01,347.25,357.8,346.85,356.05,4405346
MARUTI,2003-12-02,365.0,367.0,348.1,353.5,4496428
MARUTI,2003-12-03,356.4,363.9,354.0,357.9,3993295
MARUTI,2003-12-04,358.25,364.8,355.25,362.4,4952879
MARUTI,2003-12-05,364.6,367.0,352.2,354.2,3310018
MARUTI,2003-12-08,356.0,362.0,347.65,355.3,2681496
MARUTI,2003-12-09,360.0,370.5,356.2,366.4,2685187
MARUTI,2003-12-10,368.5,372.35,363.25,366.65,3588806
