symbol,date,open,high,low,close,volume
SICAGEN,2026-04-15,24.35,24.35,24.35,24.35,0
SICAGEN,2026-04-16,24.35,24.35,24.35,24.35,0
SICAGEN,2026-04-17,24.35,24.35,24.35,24.35,0
SICAGEN,2026-04-20,55.5,55.9,52.45,54.55,4317
SICAGEN,2026-04-21,56.55,56.55,52.55,54.9,15316
SICAGEN,2026-04-22,56.45,56.45,52.75,53.2,14406
SICAGEN,2026-04-23,53.0,54.8,52.35,53.65,24741
SICAGEN,2026-04-24,54.95,54.95,52.2,52.7,16921
SICAGEN,2026-04-27,54.0,54.55,52.25,54.1,10368
SICAGEN,2026-04-28,54.1,55.45,53.0,53.65,5782
SICAGEN,2026-04-29,54.85,56.85,53.1,53.65,7992
SICAGEN,2026-04-30,53.4,54.7,53.2,53.55,4126
SICAGEN,2026-05-04,51.1,54.25,51.1,52.92,8733
SICAGEN,2026-05-05,52.9,53.45,52.35,52.35,3338
SICAGEN,2026-05-06,52.8,54.42,52.52,52.89,18457
SICAGEN,2026-05-07,53.89,59.0,52.9,57.34,27204
SICAGEN,2026-05-08,57.34,59.5,53.31,54.74,47920
SICAGEN,2026-05-11,57.25,57.25,52.61,53.39,35753
SICAGEN,2026-05-12,53.39,54.84,52.1,53.43,26545
SICAGEN,2026-05-13,53.99,55.59,52.11,53.6,9209
SICAGEN,2026-05-14,54.95,55.89,53.5,54.04,13474
SICAGEN,2026-05-15,55.49,55.49,53.2,53.5,5371
SICAGEN,2026-05-18,54.3,54.3,51.24,52.66,7005
SICAGEN,2026-05-19,53.01,53.96,51.53,52.6,7027
SICAGEN,2026-05-20,52.3,53.29,52.1,52.41,3800
SICAGEN,2026-05-21,53.6,55.5,51.13,53.16,9355
SICAGEN,2026-05-22,53.15,53.89,52.5,52.59,854
SICAGEN,2026-05-25,52.59,58.45,52.59,56.43,37550
SICAGEN,2026-05-26,58.95,58.95,55.0,55.28,10824
SICAGEN,2026-05-27,55.0,58.45,53.15,56.62,41209
SICAGEN,2026-05-28,56.62,56.62,56.62,56.62,0
SICAGEN,2026-05-29,56.62,61.5,54.35,56.38,101229
SICAGEN,2026-06-01,54.6,60.43,54.6,56.44,111470
SICAGEN,2026-06-02,56.5,58.65,56.1,57.04,10630
SICAGEN,2026-06-03,57.05,59.44,55.44,57.48,12102
SICAGEN,2026-06-04,56.51,58.12,56.51,57.12,7717
SICAGEN,2026-06-05,57.0,57.79,54.99,55.91,10085
SICAGEN,2026-06-08,55.01,55.89,53.4,53.84,3881
SICAGEN,2026-06-09,54.9,55.0,52.8,53.7,13472
SICAGEN,2026-06-10,53.7,54.43,53.5,53.68,2242
SICAGEN,2026-06-11,54.0,56.95,52.31,53.36,22254
SICAGEN,2026-06-12,54.88,56.39,53.74,54.35,6020
SICAGEN,2026-06-15,54.25,55.78,54.14,54.55,10972
SICAGEN,2026-06-16,54.55,55.83,53.0,53.81,8798
SICAGEN,2026-06-17,54.06,55.19,53.3,53.96,5905
SICAGEN,2026-06-18,54.44,55.5,53.58,55.41,5857
SICAGEN,2026-06-19,55.42,55.42,53.53,54.1,4531
SICAGEN,2026-06-22,55.1,55.49,54.5,55.0,19229
SICAGEN,2026-06-23,54.25,57.0,50.56,53.17,27657
SICAGEN,2026-06-24,54.2,55.8,53.23,54.12,11771
SICAGEN,2026-06-25,54.05,54.05,52.55,53.19,21058
SICAGEN,2026-06-26,53.19,53.19,53.19,53.19,0
SICAGEN,2026-06-29,54.64,54.64,52.6,52.86,1800
SICAGEN,2026-06-30,54.29,54.29,52.25,52.57,8565
SICAGEN,2026-07-01,53.98,53.98,52.56,53.65,5056
SICAGEN,2026-07-02,53.5,53.65,52.33,53.42,7959
SICAGEN,2026-07-03,53.9,54.9,52.66,53.11,4279
SICAGEN,2026-07-06,53.0,54.9,52.72,52.88,10396
SICAGEN,2026-07-07,53.0,53.48,52.0,52.32,6044
SICAGEN,2026-07-08,53.37,53.7,51.25,52.08,9931
SICAGEN,2026-07-09,52.1,53.7,51.86,52.49,8118
SICAGEN,2026-07-10,52.51,53.6,52.51,52.7,4831
SICAGEN,2026-07-13,53.4,53.49,52.3,52.61,6939
SICAGEN,2026-07-14,52.34,53.25,51.06,51.88,16421
SICAGEN,2026-07-15,51.88,52.95,51.25,51.5,4710
SICAGEN,2026-07-16,52.0,52.8,50.6,52.69,8271
SICAGEN,2026-07-17,53.0,53.0,51.0,52.08,10924
SICAGEN,2026-07-20,52.97,52.97,51.0,51.65,3801
SICAGEN,2026-07-21,51.7,52.8,50.09,51.03,11342
SICAGEN,2026-07-22,52.23,52.23,50.25,51.19,6414
SICAGEN,2026-07-23,51.8,51.86,50.01,50.1,13452
SICAGEN,2026-07-24,50.11,50.89,50.0,50.63,3890
