symbol,date,open,high,low,close,volume
IRCTC,2019-10-14,125.2,148.76,125.0,145.55,226353035
IRCTC,2019-10-15,147.2,149.48,139.21,142.63,52650205
IRCTC,2019-10-16,142.8,144.2,139.65,140.13,17381530
IRCTC,2019-10-17,140.02,146.6,137.43,144.86,25164650
IRCTC,2019-10-18,145.0,157.98,143.21,155.83,48666150
IRCTC,2019-10-22,157.39,173.35,156.2,168.94,46733940
IRCTC,2019-10-23,173.2,181.98,173.2,180.06,45116345
IRCTC,2019-10-24,184.99,190.7,172.53,180.41,59356565
IRCTC,2019-10-25,181.0,183.2,175.2,179.81,19247675
IRCTC,2019-10-27,182.2,185.0,179.0,181.54,6711285
IRCTC,2019-10-29,181.4,181.48,175.73,176.62,10118740
IRCTC,2019-10-30,176.2,184.0,176.17,178.09,16381015
IRCTC,2019-10-31,180.0,181.54,175.4,176.34,9198590
IRCTC,2019-11-01,177.0,181.59,176.62,178.1,9411150
IRCTC,2019-11-04,179.0,179.6,176.05,176.69,4195835
IRCTC,2019-11-05,177.34,181.4,174.26,176.3,10190335
IRCTC,2019-11-06,177.0,179.0,176.2,176.86,4950450
IRCTC,2019-11-07,177.8,178.4,176.02,176.3,3875510
IRCTC,2019-11-08,175.95,178.2,174.46,175.38,4743845
IRCTC,2019-11-11,177.2,188.67,176.8,186.58,27509375
IRCTC,2019-11-13,191.0,196.18,180.64,186.41,30872350
IRCTC,2019-11-14,183.0,189.4,179.4,181.46,14336980
IRCTC,2019-11-15,184.0,187.96,180.4,185.64,15970190
IRCTC,2019-11-18,186.82,187.58,183.41,184.43,5720000
IRCTC,2019-11-19,184.55,184.8,180.0,180.51,5522965
IRCTC,2019-11-20,181.8,183.4,178.0,179.14,6322985
IRCTC,2019-11-21,179.6,181.2,176.02,176.96,6485590
IRCTC,2019-11-22,177.8,177.8,174.48,175.18,3738365
IRCTC,2019-11-25,175.8,178.0,174.62,176.43,3437825
IRCTC,2019-11-26,177.4,179.0,175.1,175.74,3971740
IRCTC,2019-11-27,176.22,178.2,176.0,176.65,2933130
IRCTC,2019-11-28,176.99,177.56,175.62,176.49,2078740
IRCTC,2019-11-29,176.43,183.74,175.6,179.45,8998765
IRCTC,2019-12-02,180.4,180.57,175.63,176.21,2332100
IRCTC,2019-12-03,177.2,177.8,174.2,175.0,2754285
IRCTC,2019-12-04,174.4,177.0,172.46,174.82,3705230
IRCTC,2019-12-05,175.9,177.78,174.4,175.19,2634880
IRCTC,2019-12-06,175.4,175.73,173.63,174.47,1776855
IRCTC,2019-12-09,175.31,175.31,172.83,173.48,1771245
IRCTC,2019-12-10,173.96,173.96,171.06,172.18,1974045
IRCTC,2019-12-11,172.78,173.99,171.1,172.93,2205205
IRCTC,2019-12-12,173.0,175.6,172.02,173.98,1451385
