symbol,date,open,high,low,close,volume
RUCHINFRA,2002-09-02,4.1,4.1,4.1,4.1,100
RUCHINFRA,2002-09-03,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-04,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-05,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-06,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-09,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-10,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-11,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-12,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-13,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-16,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-17,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-18,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-19,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-20,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-23,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-24,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-25,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-26,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-27,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-09-30,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-01,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-02,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-03,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-04,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-07,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-08,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-09,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-10,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-11,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-14,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-15,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-16,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-17,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-18,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-21,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-22,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-23,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-24,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-25,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-28,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-29,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-30,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-10-31,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-11-01,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-11-04,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-11-05,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-11-06,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-11-07,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-11-08,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-11-11,4.1,4.1,4.1,4.1,0
RUCHINFRA,2002-11-12,4.1,4.1,4.1,4.1,0
