symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,-0.0759301442672741,1.075268817204301,-0.47,1.6,-2.39,0.39,-0.52,3.47
BHARTIARTL,Communications,Wireless Telecommunications,,unmapped,0.3558351812696659,0.1853377265238832,-0.47,1.6,,0.83,-1.41,
HDFCBANK,Finance,Major Banks,NIFTY_BANK,industry,0.2689655172413855,-4.380138112463,-0.47,1.6,2.07,0.74,-5.98,-6.45
ICICIBANK,Finance,Regional Banks,NIFTY_BANK,industry,1.2116892373485388,-3.164211674849979,-0.47,1.6,2.07,1.68,-4.76,-5.23
SBIN,Finance,Regional Banks,NIFTY_BANK,industry,-3.0776340110905687,0.4117196476445762,-0.47,1.6,2.07,-2.61,-1.19,-1.66
TCS,Technology Services,Information Technology Services,NIFTY_IT,industry,-3.0777651467306604,3.88086642599278,-0.47,1.6,7.0,-2.61,2.28,-3.12
BAJFINANCE,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,0.3850385038503892,2.9135338345864663,-0.47,1.6,1.89,0.86,1.31,1.02
LT,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,0.5972423624253492,6.727509778357236,-0.47,1.6,-0.98,1.07,5.13,7.71
LICI,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,2.7372262773722627,-1.7337677449383264,-0.47,1.6,1.89,3.21,-3.33,-3.62
HINDUNILVR,Consumer Non-Durables,Household/Personal Care,NIFTY_FMCG,industry,-3.5423647678314985,-5.827919801841372,-0.47,1.6,-1.63,-3.07,-7.43,-4.2
SUNPHARMA,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-1.5320910973084838,-1.83694530443756,-0.47,1.6,2.75,-1.06,-3.44,-4.59
INFY,Technology Services,Information Technology Services,NIFTY_IT,industry,-4.220779220779228,5.357142857142857,-0.47,1.6,7.0,-3.75,3.76,-1.64
TITAN,Consumer Durables,Other Consumer Specialties,NIFTY_AUTO,sector,0.4364139020537196,8.545148003500023,-0.47,1.6,1.4,0.91,6.95,7.15
MARUTI,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-2.445163610212154,-0.2280082377169756,-0.47,1.6,1.4,-1.98,-1.83,-1.63
M&M,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-0.3737226277372316,6.697936210131326,-0.47,1.6,1.4,0.1,5.1,5.3
ADANIENT,Distribution Services,Wholesale Distributors,,unmapped,1.0792580101180438,-5.813953488372093,-0.47,1.6,,1.55,-7.41,
KOTAKBANK,Finance,Major Banks,NIFTY_BANK,industry,2.4675655049605667,4.813947436898256,-0.47,1.6,2.07,2.94,3.21,2.74
ADANIPOWER,Utilities,Electric Utilities,NIFTY_ENERGY,industry,-0.199116118692631,-6.747742433180562,-0.47,1.6,-2.39,0.27,-8.35,-4.36
ADANIPORTS,Transportation,Other Transportation,,unmapped,2.5331724969843186,-7.462849055576719,-0.47,1.6,,3.0,-9.06,
AXISBANK,Finance,Major Banks,NIFTY_BANK,industry,2.4506578947368385,-0.9855348911142976,-0.47,1.6,2.07,2.92,-2.59,-3.06
HCLTECH,Technology Services,Information Technology Services,NIFTY_IT,industry,-5.120920745920743,4.719408264994376,-0.47,1.6,7.0,-4.65,3.12,-2.28
ULTRACEMCO,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,-0.7463326756455348,-4.229782302789504,-0.47,1.6,-0.98,-0.28,-5.83,-3.25
ITC,Consumer Non-Durables,Tobacco,NIFTY_FMCG,industry,-3.215376324770988,-3.957219251336906,-0.47,1.6,-1.63,-2.75,-5.56,-2.33
HAL,Electronic Technology,Aerospace & Defense,NIFTY_IT,sector,1.214574898785425,9.051254089422027,-0.47,1.6,7.0,1.68,7.45,2.05
NTPC,Utilities,Electric Utilities,NIFTY_ENERGY,industry,-1.0621271642659618,-2.130109383995388,-0.47,1.6,-2.39,-0.59,-3.73,0.26
BAJAJ_AUTO,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,0.017096939647803,10.273327049952874,-0.47,1.6,1.4,0.49,8.67,8.87
BAJAJFINSV,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,-0.049176297024834,7.250277030235875,-0.47,1.6,1.89,0.42,5.65,5.36
ETERNAL,Technology Services,Internet Software/Services,NIFTY_IT,industry,3.20956576463184,13.968033356497564,-0.47,1.6,7.0,3.68,12.37,6.97
JSWSTEEL,Non-Energy Minerals,Steel,NIFTY_METAL,industry,2.0831689418448742,2.3092131277184693,-0.47,1.6,-4.41,2.55,0.71,6.72
BEL,Electronic Technology,Aerospace & Defense,NIFTY_IT,sector,0.864904373248876,0.9632971588830602,-0.47,1.6,7.0,1.33,-0.64,-6.04
ONGC,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,-1.2902417637479655,-5.816733067729082,-0.47,1.6,-2.39,-0.82,-7.42,-3.43
NESTLEIND,Consumer Non-Durables,Food: Major Diversified,NIFTY_FMCG,industry,-1.97756984537794,1.1504485379716465,-0.47,1.6,-1.63,-1.51,-0.45,2.78
SHRIRAMFIN,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,0.0,6.805293005671078,-0.47,1.6,1.89,0.47,5.21,4.92
DMART,Retail Trade,Specialty Stores,NIFTY_FMCG,sector,-4.142534602925301,-1.6120906801007555,-0.47,1.6,-1.63,-3.67,-3.21,0.02
POWERGRID,Utilities,Alternative Power Generation,NIFTY_ENERGY,industry,2.022471910112351,-4.638543672326274,-0.47,1.6,-2.39,2.49,-6.24,-2.25
ASIANPAINT,Process Industries,Industrial Specialties,,unmapped,-4.034896401308616,-1.6026835631755498,-0.47,1.6,,-3.56,-3.2,
HINDZINC,Non-Energy Minerals,Other Metals/Minerals,NIFTY_METAL,industry,3.4608695652173878,10.78212290502793,-0.47,1.6,-4.41,3.93,9.18,15.19
COALINDIA,Energy Minerals,Coal,NIFTY_ENERGY,industry,-1.122498779892636,-6.051472293067476,-0.47,1.6,-2.39,-0.65,-7.65,-3.66
HINDALCO,Non-Energy Minerals,Other Metals/Minerals,NIFTY_METAL,industry,-0.1737787217609533,8.272251308900524,-0.47,1.6,-4.41,0.3,6.67,12.68
TATASTEEL,Non-Energy Minerals,Steel,NIFTY_METAL,industry,-0.5434782608695652,-2.6543965104526883,-0.47,1.6,-4.41,-0.07,-4.25,1.76
DIVISLAB,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,1.1471263015471498,17.285129604365622,-0.47,1.6,2.75,1.62,15.69,14.54
GRASIM,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,1.3232050967899969,4.580949068951348,-0.47,1.6,-0.98,1.79,2.98,5.56
