symbol,ex_date,record_date,purpose,face_value,series
VERANDA,06-Oct-2026,06-Oct-2026,Demerger,10,EQ
LOTUSDEV,25-Sep-2026,25-Sep-2026,Dividend - Re 0.50 Per Share,1,EQ
ARFIN,24-Sep-2026,24-Sep-2026,Interim Dividend - Re 0.12 Per Share,1,EQ
ENGINERSIN,24-Sep-2026,24-Sep-2026,Dividend - Rs 2.50 Per Share,5,EQ
APOLLO,23-Sep-2026,23-Sep-2026,Dividend - Re 0.25 Per Share,1,EQ
QMSMEDI,23-Sep-2026,23-Sep-2026,Dividend - Re 0.50 Per Share,10,EQ
SIGIND,23-Sep-2026,23-Sep-2026,Dividend - Re 0.50 Per Share,10,EQ
PREMEXPLN,23-Sep-2026,23-Sep-2026,Dividend - Re 0.50 Per Share,2,EQ
SAHLIBHFI,23-Sep-2026,23-Sep-2026,Dividend - Re 0.50 Per Share,10,EQ
RMDRIP,23-Sep-2026,23-Sep-2026,Dividend - Re 0.03 Per Share,1,EQ
REMSONSIND,23-Sep-2026,23-Sep-2026,Dividend - Re 0.10 Per Share,2,EQ
GALLANTT,23-Sep-2026,23-Sep-2026,Dividend - Rs 2 Per Share,10,EQ
AGIIL,23-Sep-2026,23-Sep-2026,Dividend - Re 0.20 Per Share,1,EQ
CONFIPET,23-Sep-2026,23-Sep-2026,Dividend - Re 0.10 Per Share,1,EQ
MIDHANI,23-Sep-2026,23-Sep-2026,Dividend - Rs 1.25 Per Share,10,EQ
CNL,23-Sep-2026,23-Sep-2026,Dividend - Re 0.50 Per Share,10,EQ
CFEL,23-Sep-2026,23-Sep-2026,Dividend - Re 0.25 Per Share,5,EQ
AAATECH,23-Sep-2026,23-Sep-2026,Dividend - Re 1 Per Share,10,EQ
DHABRIYA,23-Sep-2026,23-Sep-2026,Dividend - Re 0.70 Per Share,10,EQ
TITAGARH,23-Sep-2026,23-Sep-2026,Dividend - Re 1 Per Share,2,EQ
ASAHISONG,23-Sep-2026,23-Sep-2026,Dividend - Rs 1.50 Per Share,10,EQ
SRIKPRIND,23-Sep-2026,23-Sep-2026,Dividend - Re 1 Per Share,10,EQ
JGCHEM,23-Sep-2026,23-Sep-2026,Dividend - Rs 1.10 Per Share,10,EQ
HALEOSLABS,23-Sep-2026,23-Sep-2026,Dividend - Rs 1.50 Per Share,10,EQ
GOODLUCK,23-Sep-2026,23-Sep-2026,Dividend - Re 1 Per Share,2,EQ
HARIOMPIPE,23-Sep-2026,23-Sep-2026,Dividend - Re 0.75 Per Share,10,EQ
DEVIT,23-Sep-2026,23-Sep-2026,Dividend - Re 0.10 Per Share,2,EQ
THEMISMED,23-Sep-2026,23-Sep-2026,Dividend - Re 0.50 Per Share,1,EQ
SYNCOMF,23-Sep-2026,23-Sep-2026,Dividend - Re 0.10 Per Share,1,EQ
XTGLOBAL,23-Sep-2026,23-Sep-2026,Interim Dividend - Re 0.05 Per Share,1,EQ
SATIA,23-Sep-2026,23-Sep-2026,Dividend - Re 0.40 Per Share,1,EQ
PASHUPATI,23-Sep-2026,23-Sep-2026,Dividend - Re 0.05 Per Share,1,EQ
GUJTHEM,23-Sep-2026,23-Sep-2026,Dividend - Re 0.67 Per Share,1,EQ
VINCOFE,23-Sep-2026,23-Sep-2026,Dividend - Re 0.15 Per Share,10,EQ
ODYCORP,23-Sep-2026,23-Sep-2026,Dividend - Re 0.05 Per Share,5,EQ
GMDCLTD,23-Sep-2026,23-Sep-2026,Dividend - Rs 9.50 Per Share,2,EQ
ICEMAKE,23-Sep-2026,23-Sep-2026,Dividend - Rs 2.25 Per Share,10,EQ
SSWL,23-Sep-2026,23-Sep-2026,Dividend - Rs 1.50 Per Share,1,EQ
PNCINFRA,23-Sep-2026,23-Sep-2026,Dividend - Re 0.60 Per Share,2,EQ
HLEGLAS,23-Sep-2026,23-Sep-2026,Dividend - Rs 1.10 Per Share,2,EQ
SKYWAYS,23-Sep-2026,23-Sep-2026,Dividend - Re 0.65 Per Share,10,EQ
REPCOHOME,22-Sep-2026,22-Sep-2026,Dividend - Rs 3 Per Share,10,EQ
BEML,22-Sep-2026,22-Sep-2026,Dividend - Rs 12.28 Per Share,5,EQ
BESTAGRO,22-Sep-2026,22-Sep-2026,Dividend - Re 0.10 Per Share,1,EQ
3BBLACKBIO,22-Sep-2026,22-Sep-2026,Dividend - Rs 5 Per Share,10,EQ
RUCHIRA,22-Sep-2026,22-Sep-2026,Dividend - Rs 2.50 Per Share,10,EQ
RIR,22-Sep-2026,22-Sep-2026,Dividend - Re 0.10 Per Share,2,EQ
RUBFILA,22-Sep-2026,22-Sep-2026,Dividend - Rs 2 Per Share,5,EQ
IRCTC,22-Sep-2026,22-Sep-2026,Dividend - Re 0.50 Per Share,2,EQ
JAMNAAUTO,22-Sep-2026,22-Sep-2026,Dividend - Rs 1.50 Per Share,1,EQ
BEEKAY,22-Sep-2026,22-Sep-2026,Dividend - Re 1 Per Share,10,EQ
TERASOFT,22-Sep-2026,22-Sep-2026,Dividend - Rs 1.20 Per Share,10,EQ
ARIES,22-Sep-2026,22-Sep-2026,Dividend - Rs 1.50 Per Share/Special Dividend - Re 1 Per Share,10,EQ
CSM,22-Sep-2026,22-Sep-2026,Dividend - Re 0.50 Per Share,10,EQ
AMBIKCO,22-Sep-2026,22-Sep-2026,Dividend - Rs 37 Per Share,10,EQ
AHLUCONT,22-Sep-2026,22-Sep-2026,Dividend - Re 0.70 Per Share,2,EQ
AARTISURF,22-Sep-2026,22-Sep-2026,Dividend - Re 1 Per Share,10,EQ
AARTECH,22-Sep-2026,22-Sep-2026,Dividend - Re 0.125 Per Share,5,EQ
AURIONPRO,22-Sep-2026,22-Sep-2026,Dividend - Rs 2 Per Sh,10,EQ
ASHIANA,22-Sep-2026,22-Sep-2026,Dividend - Rs 1.50 Per Share,2,EQ
DECCANCE,22-Sep-2026,22-Sep-2026,Dividend - Re 0.50 Per Share,5,EQ
SIGACHI,22-Sep-2026,22-Sep-2026,Dividend - Re 0.10 Per Share,1,EQ
FISCHER,22-Sep-2026,22-Sep-2026,Dividend - Re 0.05 Per Share,1,EQ
COMSYN,22-Sep-2026,22-Sep-2026,Dividend - Re 0.50 Per Share,10,EQ
MALLCOM,22-Sep-2026,22-Sep-2026,Dividend - Rs 3 Per Share,10,EQ
GOCLCORP,22-Sep-2026,22-Sep-2026,Dividend - Rs 30 Per Share,2,EQ
QPOWER,22-Sep-2026,22-Sep-2026,Dividend - Re 1 Per Share,10,EQ
ASHAPURMIN,22-Sep-2026,22-Sep-2026,Dividend - Rs 2 Per Share,2,EQ
VIVIANA,22-Sep-2026,22-Sep-2026,Dividend - Re 1 Per Sh,10,EQ
PARAGMILK,22-Sep-2026,22-Sep-2026,Dividend - Rs 1.10 Per Share,10,EQ
KPIGREEN,22-Sep-2026,22-Sep-2026,Dividend - Rs 0.25 Per Share/Special Dividend - Re 0.15 Per Share,5,EQ
KPEL,22-Sep-2026,22-Sep-2026,Dividend - Re 0.25 Per Share,5,EQ
ONELIFECAP,22-Sep-2026,22-Sep-2026,Dividend - Re 0.01 Per Share,10,EQ
ONEGLOBAL,22-Sep-2026,22-Sep-2026,Dividend - Re 1 Per Share,10,EQ
KLBRENG-B,22-Sep-2026,22-Sep-2026,Dividend - Rs 3 Per Share,10,EQ
TAALTECH,22-Sep-2026,22-Sep-2026,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,EQ
NLCINDIA,22-Sep-2026,22-Sep-2026,Dividend - Re 0.25 Per Share,10,EQ
HINDCOMPOS,22-Sep-2026,22-Sep-2026,Dividend - Rs 2 Per Share,5,EQ
SMSPHARMA,22-Sep-2026,22-Sep-2026,Dividend - Re 0.40 Per Share,1,EQ
LFIC,22-Sep-2026,22-Sep-2026,Dividend - Rs 2.50 Per Share,10,EQ
HFCL,22-Sep-2026,22-Sep-2026,Dividend - Re 0.20 Per Share,1,EQ
LAMBODHARA,22-Sep-2026,22-Sep-2026,Dividend - Re 0.50 Per Share,5,EQ
LAHOTIOV,22-Sep-2026,22-Sep-2026,Dividend - Re 0.20 Per Share,2,EQ
GVPTECH,22-Sep-2026,22-Sep-2026,Dividend - Re 0.20 Per Share,2,EQ
NIBE,22-Sep-2026,22-Sep-2026,Dividend - Rs 1.30 Per Share,10,EQ
RAJOOENG,22-Sep-2026,22-Sep-2026,Dividend - Re 0.15 Per Share,1,EQ
BDL,21-Sep-2026,21-Sep-2026,Dividend - Re 0.40 Per Share,5,EQ
JSLL,21-Sep-2026,21-Sep-2026,Dividend - Rs 4.50 Per Share,2,EQ
BAJAJHLDNG,21-Sep-2026,21-Sep-2026,Interim Dividend - Rs 65 Per Share,10,EQ
ISGEC,21-Sep-2026,21-Sep-2026,Dividend - Rs 6 Per Share,1,EQ
BEARDSELL,21-Sep-2026,21-Sep-2026,Dividend - Re 0.10 Per Share,2,EQ
ROTO,21-Sep-2026,21-Sep-2026,Dividend - Re 0.19 Per Share,1,EQ
APOLSINHOT,21-Sep-2026,21-Sep-2026,Dividend - Rs 3 Per Share,5,EQ
MAHSCOOTER,21-Sep-2026,21-Sep-2026,Intdividend - Rs 160 Per Share,10,EQ
JAICORPLTD,21-Sep-2026,21-Sep-2026,Dividend - Re 0.50 Per Share,1,EQ
CONCOR,21-Sep-2026,21-Sep-2026,Dividend - Re 1 Per Sh,5,EQ
CYBERTECH,21-Sep-2026,21-Sep-2026,Dividend - Rs 4 Per Share,10,EQ
ALICON,21-Sep-2026,21-Sep-2026,Dividend - Rs 3 Per Share,5,EQ
CORDSCABLE,21-Sep-2026,21-Sep-2026,Dividend - Rs 1.20 Per Share,10,EQ
CLSEL,21-Sep-2026,21-Sep-2026,Dividend - Rs 3 Per Share,2,EQ
ABINFRA,21-Sep-2026,21-Sep-2026,Dividend - Re 0.006 Per Share,1,EQ
CGVAK,21-Sep-2026,21-Sep-2026,Dividend - Re 1 Per Share,10,EQ
ZOTA,21-Sep-2026,21-Sep-2026,Dividend - Re 1 Per Share,10,EQ
MANALIPETC,21-Sep-2026,21-Sep-2026,Dividend - Re 0.50 Per Share,5,EQ
ASTAR,21-Sep-2026,21-Sep-2026,Dividend - Rs 1.50 Per Share,10,EQ
MAITHANALL,21-Sep-2026,21-Sep-2026,Dividend - Rs 6 Per Share,10,EQ
MONTECARLO,21-Sep-2026,21-Sep-2026,Dividend - Rs 20 Per Share,10,EQ
SPIC,21-Sep-2026,21-Sep-2026,Dividend - Rs 2 Per Share,10,EQ
KINGFA,21-Sep-2026,21-Sep-2026,Dividend - Rs 20 Per Share,10,EQ
SREEL,21-Sep-2026,21-Sep-2026,Dividend - Re 1 Per Share,10,EQ
DIXON,21-Sep-2026,21-Sep-2026,Dividend - Rs 10 Per Share,2,EQ
VETO,21-Sep-2026,21-Sep-2026,Dividend - Re 1 Per Share,10,EQ
KRISHIVAL,21-Sep-2026,21-Sep-2026,Dividend - Re 0.35 Per Share,10,EQ
GUJAPOLLO,21-Sep-2026,21-Sep-2026,Dividend - Rs 2 Per Share,10,EQ
GTPL,21-Sep-2026,21-Sep-2026,Dividend - Rs 2 Per Share,10,EQ
ORICONENT,21-Sep-2026,21-Sep-2026,Dividend - Re 0.20 Per Share,2,EQ
KJMCFIN,21-Sep-2026,21-Sep-2026,Dividend - Re 1 Per Share,10,EQ
WIPL,21-Sep-2026,21-Sep-2026,Dividend - Re 1 Per Share,10,EQ
KEYFINSERV,21-Sep-2026,21-Sep-2026,Dividend - Re 1 Per Share,10,EQ
MANYAVAR,21-Sep-2026,21-Sep-2026,Dividend - Rs 7.75 Per Share,1,EQ
KAJARIACER,21-Sep-2026,21-Sep-2026,Dividend - Rs 6 Per Share,1,EQ
PNBGILTS,21-Sep-2026,21-Sep-2026,Dividend - Rs 2 Per Share,10,EQ
SHUKRAPHAR,21-Sep-2026,21-Sep-2026,Dividend - Re 0.01 Per Share,1,EQ
LANCORHOL,21-Sep-2026,21-Sep-2026,Dividend - Re 0.20 Per Share/Special Dividend - Re 0.10 Per Share,2,EQ
SHIVALIK,21-Sep-2026,21-Sep-2026,Dividend - Re 0.50 Per Share,5,EQ
NIPPOBATRY,21-Sep-2026,21-Sep-2026,Dividend - Rs 3.75 Per Share,5,EQ
BBTCL,18-Sep-2026,18-Sep-2026,Dividend - Re 1 Per Share,10,EQ
BCLIND,18-Sep-2026,18-Sep-2026,Dividend - Re 0.35 Per Share,1,EQ
CAPLIPOINT,18-Sep-2026,18-Sep-2026,Dividend - Rs 4 Per Share,2,EQ
MKEXIM,18-Sep-2026,18-Sep-2026,Dividend - Re 0.60 Per Share,10,EQ
MOREPENLAB,18-Sep-2026,19-Sep-2026,Dividend - Re 0.20 Per Share,2,EQ
RITES,18-Sep-2026,20-Sep-2026,Dividend - Rs 2.75 Per Share,10,EQ
EKC,18-Sep-2026,18-Sep-2026,Dividend - Re 0.70 Per Share,2,EQ
INDRAMEDCO,18-Sep-2026,18-Sep-2026,Dividend - Rs 4 Per Share,10,EQ
EMMVEE,18-Sep-2026,18-Sep-2026,Dividend - Re 1 Per Sh,2,EQ
EMSLIMITED,18-Sep-2026,19-Sep-2026,Dividend - Rs 1.50 Per Share,10,EQ
ENIL,18-Sep-2026,18-Sep-2026,Dividend - Rs 2 Per Share,10,EQ
FOODSIN,18-Sep-2026,18-Sep-2026,Dividend - Re 0.30 Per Share,1,EQ
PRAVEG,18-Sep-2026,18-Sep-2026,Dividend - Re 0.50 Per Share,10,EQ
