date,symbol,subject,details,category,news_sentiment,catalyst_strength,major_catalyst,risk_event,news_score,classify_source
14-Aug-2026 00:40:13,AMBER,Outcome of Board Meeting,"Amber Enterprises India Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",Outcome of Board Meeting,0.2,2,True,True,10,keyword
14-Aug-2026 00:43:57,AMBER,Outcome of Board Meeting,"Pursuant to Regulation 30 of the SEBI (LODR) Regulations, 2015, we wish to inform you that the Board of Directors of the Company, at its meeting held on Thursday, 13th August 2026, has, inter alia, considered and approved the Change in Director/KMP/SMP.",Outcome of Board Meeting,-0.7,2,True,True,12,keyword
14-Aug-2026 00:43:57,AMBER,Outcome of Board Meeting,"Pursuant to Regulation 30 of the SEBI (LODR) Regulations, 2015, we wish to inform you that the Board of Directors of the Company, at its meeting held on Thursday, 13th August 2026, has, inter alia, considered and approved the Notice of 36th Annual General Meeting of the Company.",Outcome of Board Meeting,-0.7,2,True,True,12,keyword
14-Aug-2026 00:47:44,HMAAGRO,Copy of Newspaper Publication,Hma Agro Industries Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication,0.0,0,False,False,0,none
14-Aug-2026 00:49:15,JINDALPOLY,Outcome of Board Meeting,"Jindal Poly Films Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026.",Outcome of Board Meeting,0.2,2,True,True,10,keyword
14-Aug-2026 00:57:03,HMAAGRO,Investor Presentation,Hma Agro Industries Limited has informed the Exchange about Investor Presentation,Investor Presentation,0.0,0,False,False,0,none
14-Aug-2026 00:57:14,AMBER,Appointment,"Pursuant to Regulation 30 of the SEBI (LODR) Regulations, 2015, we wish to inform you that the Board of Directors of the Company, at its meeting held on Thursday, 13th August 2026, has, inter alia, considered and approved the re-appointment of Ms. Sabina Moti Bhavnani as Non-Executive Independent Di",Appointment,-0.7,2,True,True,12,keyword
14-Aug-2026 00:59:39,AMBER,Appointment,"Pursuant to Regulation 30 of the SEBI (LODR) Regulations, 2015, we wish to inform you that the Board of Directors of the Company, at its meeting held on Thursday, 13th August 2026, has, inter alia, considered and approved the re-appointment of Mr. Prakash Iyer as Non-Executive Independent Director o",Appointment,-0.7,2,True,True,12,keyword
14-Aug-2026 01:02:16,AMBER,Change in Management,"Pursuant to Regulation 30 of the SEBI (LODR) Regulations, 2015, we wish to inform you that the Board of Directors of the Company, at its meeting held on Thursday, 13th August 2026, has, inter alia, considered and approved the De-classification of Senior Management Personnel (""SMP"") of the Company.",Change in Management,-0.7,2,True,True,12,keyword
14-Aug-2026 01:08:15,AMBER,Press Release,"Pursuant to the relevant provisions of SEBI (LODR) Regulations, 2015 as amended, please find enclosed a press release dated 14th August 2026, regarding the Unaudited Financial Results (Standalone and Consolidated) of the Company for the 1st Quarter (April to June) of the financial year 2026-27.",Press Release,0.2,2,True,True,10,keyword
14-Aug-2026 01:11:11,AMBER,Investor Presentation,Amber Enterprises India Limited has informed the Exchange about Investor Presentation,Investor Presentation,0.0,0,False,False,0,none
14-Aug-2026 01:26:47,AMBER,General Updates,"Pursuant to Regulation 30 SEBI (LODR) Regulations, 2015, as amended, we wish to inform you that the Board of Directors of the Company, at its meeting held on Thursday, 13th August 2026, has, inter alia, considered and approved the appointment of Mr. Sudhir Goyal as the Chief Financial Officer of IL ",General Updates,-0.7,2,True,True,12,keyword
14-Aug-2026 01:32:02,AMBER,Disclosure of material issue,"Pursuant to Regulation 30 of the SEBI (LODR) Regulations, 2015, we wish to inform you that the Board of Directors of IL JIN Electronics (India) Private Limited ( IL JIN ), a material subsidiary of Amber Enterprises India Limited, at its  meeting held on 13th August 2026, inter alia considered and ap",Disclosure of material issue,-0.7,2,True,True,12,keyword
14-Aug-2026 01:57:31,AMBER,Resignation of Director/KMP/SMP,Amber Enterprises India Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP,0.0,0,False,False,0,none
14-Aug-2026 08:01:41,SKFINDUS,Investor Presentation,SKF India (Industrial) Limited has informed the Exchange about Investor Presentation,Investor Presentation,0.0,0,False,False,0,none
14-Aug-2026 08:13:36,INDOTECH,Copy of Newspaper Publication,"Indo Tech Transformers Limited has informed the Exchange about Copy of Newspaper Publication in page 12 of Financial Express and Page 5 of Makkal Kural dated August 13, 2026 on financial results for the quarter ended June 30, 2026",Copy of Newspaper Publication,0.2,2,True,True,10,keyword
14-Aug-2026 08:15:02,VIPCLOTHNG,Investor Presentation,VIP Clothing Limited has informed the Exchange about Investor Presentation,Investor Presentation,0.0,0,False,False,0,none
14-Aug-2026 08:27:38,APOLLO,Investor Presentation,Apollo Micro Systems Limited has informed the Exchange about Investor Presentation,Investor Presentation,0.0,0,False,False,0,none
14-Aug-2026 08:32:49,GICRE,Change in Director(s),General Insurance Corporation of India has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s),0.0,0,False,False,0,none
14-Aug-2026 08:42:50,GLAND,Appointment,"Gland Pharma Limited has informed the Exchange regarding Appointment of Mr Deepak Sapra as Chief Executive Officer of the company w.e.f. November 16, 2026.",Appointment,0.0,0,False,False,0,none
